timestamp,campaign,lower_per_mille,upper_per_mille,n_devices
2018-09-23 00:00:00 UTC,2,20,10,2868
2018-09-22 00:00:00 UTC,1,20,10,17518
2018-09-09 00:00:00 UTC,2,50,40,16856
2018-09-09 00:00:00 UTC,1,30,20,19381
2018-09-08 00:00:00 UTC,1,10,0,10
2018-09-23 00:00:00 UTC,1,10,0,6514
2018-09-20 00:00:00 UTC,2,20,10,4562
2018-09-20 00:00:00 UTC,1,50,40,19260
2018-09-16 00:00:00 UTC,1,40,30,18976
2018-09-21 00:00:00 UTC,2,50,40,6643
2018-09-10 00:00:00 UTC,1,40,30,32202
2018-09-23 00:00:00 UTC,1,40,30,9626
2018-09-22 00:00:00 UTC,1,40,30,15909
2018-09-24 00:00:00 UTC,2,20,10,4933
2018-09-22 00:00:00 UTC,1,30,20,19838
2018-09-15 00:00:00 UTC,2,20,10,3220
2018-09-19 00:00:00 UTC,2,40,30,8541
2018-09-19 00:00:00 UTC,1,40,30,24182
2018-09-07 00:00:00 UTC,2,10,0,42
2018-09-23 00:00:00 UTC,1,20,10,7280
2018-09-15 00:00:00 UTC,1,20,10,18356
2018-09-06 00:00:00 UTC,2,50,40,9086
2018-09-14 00:00:00 UTC,2,30,20,10982
2018-09-16 00:00:00 UTC,2,30,20,3569
2018-09-17 00:00:00 UTC,1,20,10,11990
2018-09-07 00:00:00 UTC,2,50,40,12092
2018-09-21 00:00:00 UTC,1,40,30,27740
2018-09-19 00:00:00 UTC,2,10,0,7211
2018-09-09 00:00:00 UTC,2,40,30,21140
2018-09-24 00:00:00 UTC,1,50,40,14523
2018-09-18 00:00:00 UTC,2,40,30,6689
2018-09-17 00:00:00 UTC,1,40,30,12360
2018-09-24 00:00:00 UTC,2,10,0,5574
2018-09-21 00:00:00 UTC,1,30,20,22616
2018-09-13 00:00:00 UTC,1,10,0,31
2018-09-14 00:00:00 UTC,1,40,30,27552
2018-09-09 00:00:00 UTC,2,10,0,29
2018-09-20 00:00:00 UTC,1,20,10,18604
2018-09-13 00:00:00 UTC,2,50,40,12629
2018-09-09 00:00:00 UTC,2,30,20,17320
2018-09-23 00:00:00 UTC,2,40,30,3275
2018-09-07 00:00:00 UTC,2,20,10,12425
2018-09-15 00:00:00 UTC,2,40,30,5745
2018-09-19 00:00:00 UTC,1,10,0,13835
2018-09-21 00:00:00 UTC,1,10,0,15781
2018-09-09 00:00:00 UTC,1,20,10,37841
